datetime,high,low,close,Volume
2025-09-08 09:30:00,648.86,648.24,648.26,141588
2025-09-08 09:31:00,648.45,648.15,648.27,42118
2025-09-08 09:32:00,648.46,648.1,648.26,37143
2025-09-08 09:33:00,648.47,648.23,648.4,42231
2025-09-08 09:34:00,648.68,648.32,648.665,23659
2025-09-08 09:35:00,648.88,648.62,648.78,38252
2025-09-08 09:36:00,648.92,648.78,648.79,36436
2025-09-08 09:37:00,649.06,648.8,648.87,35151
2025-09-08 09:38:00,648.91,648.23,648.23,52975
2025-09-08 09:39:00,648.35,648.06,648.11,58512
2025-09-08 09:40:00,648.57,648.1,648.5,40083
2025-09-08 09:41:00,648.78,648.4,648.77,23133
2025-09-08 09:42:00,648.78,648.44,648.62,25949
2025-09-08 09:43:00,648.88,648.62,648.69,42499
2025-09-08 09:44:00,648.76,648.52,648.64,25675
2025-09-08 09:45:00,648.66,648.28,648.42,42890
2025-09-08 09:46:00,648.52,648.23,648.28,27123
2025-09-08 09:47:00,648.32,648.05,648.11,34172
2025-09-08 09:48:00,648.62,648.1,648.57,46060
2025-09-08 09:49:00,648.76,648.52,648.66,27793
2025-09-08 09:50:00,648.66,648.22,648.27,37213
2025-09-08 09:51:00,648.79,648.17,648.5,56586
2025-09-08 09:52:00,648.57,648.31,648.51,14146
2025-09-08 09:53:00,648.57,648.3,648.37,20715
2025-09-08 09:54:00,648.77,648.35,648.76,18507
2025-09-08 09:55:00,648.96,648.63,648.96,28332
2025-09-08 09:56:00,648.96,648.76,648.84,22495
2025-09-08 09:57:00,648.86,648.6,648.71,20640
2025-09-08 09:58:00,648.77,648.42,648.45,27781
2025-09-08 09:59:00,648.48,648.33,648.38,19713
2025-09-08 10:00:00,648.37,648.1,648.24,43564
2025-09-08 10:01:00,648.26,647.93,647.97,24284
2025-09-08 10:02:00,648.27,648.0,648.27,20208
2025-09-08 10:03:00,648.32,648.15,648.24,22315
2025-09-08 10:04:00,648.35,648.19,648.29,22110
2025-09-08 10:05:00,648.37,648.11,648.28,33879
2025-09-08 10:06:00,648.51,648.26,648.48,20502
2025-09-08 10:07:00,648.66,648.4,648.57,17729
2025-09-08 10:08:00,648.7,648.56,648.62,14330
2025-09-08 10:09:00,648.64,648.33,648.42,16979
2025-09-08 10:10:00,648.56,648.4,648.43,22157
2025-09-08 10:11:00,648.62,648.32,648.56,21514
2025-09-08 10:12:00,648.555,648.21,648.46,11844
2025-09-08 10:13:00,648.49,648.3,648.34,11335
2025-09-08 10:14:00,648.41,648.2,648.2,19109
2025-09-08 10:15:00,648.3,648.13,648.26,31517
2025-09-08 10:16:00,648.29,648.07,648.19,23323
2025-09-08 10:17:00,648.24,647.96,647.979,15931
2025-09-08 10:18:00,648.14,647.86,647.89,20158
2025-09-08 10:19:00,648.03,647.75,647.91,43490
2025-09-08 10:20:00,647.94,647.78,647.9,16708
2025-09-08 10:21:00,648.02,647.82,647.88,25191
2025-09-08 10:22:00,648.16,647.87,648.06,34659
2025-09-08 10:23:00,648.16,647.93,648.12,21677
2025-09-08 10:24:00,648.13,647.96,648.01,24091
2025-09-08 10:25:00,648.23,648.0,648.019,38779
2025-09-08 10:26:00,648.35,648.03,648.34,22030
2025-09-08 10:27:00,648.73,648.32,648.61,36772
2025-09-08 10:28:00,648.8,648.58,648.75,21447
2025-09-08 10:29:00,648.9,648.715,648.77,35801
2025-09-08 10:30:00,649.05,648.75,649.0,44273
2025-09-08 10:31:00,649.06,648.915,648.96,45285
2025-09-08 10:32:00,649.14,648.87,648.88,27485
2025-09-08 10:33:00,648.905,648.66,648.78,15589
2025-09-08 10:34:00,648.86,648.72,648.81,12817
2025-09-08 10:35:00,648.88,648.74,648.82,21921
2025-09-08 10:36:00,648.99,648.83,648.98,15276
2025-09-08 10:37:00,649.0,648.86,648.92,10738
2025-09-08 10:38:00,649.21,648.91,649.13,18361
2025-09-08 10:39:00,649.27,649.06,649.09,21546
2025-09-08 10:40:00,649.16,649.01,649.12,13942
2025-09-08 10:41:00,649.23,649.06,649.225,19657
2025-09-08 10:42:00,649.38,649.22,649.38,16710
2025-09-08 10:43:00,649.38,649.27,649.31,15255
2025-09-08 10:44:00,649.36,649.19,649.26,34529
2025-09-08 10:45:00,649.4,649.2,649.23,19710
2025-09-08 10:46:00,649.46,649.23,649.39,17852
2025-09-08 10:47:00,649.49,649.32,649.42,13254
2025-09-08 10:48:00,649.47,649.31,649.45,17908
2025-09-08 10:49:00,649.5,649.39,649.395,19343
2025-09-08 10:50:00,649.38,649.19,649.33,29040
2025-09-08 10:51:00,649.42,649.26,649.28,14714
2025-09-08 10:52:00,649.4,649.29,649.37,10415
2025-09-08 10:53:00,649.395,649.29,649.38,22172
2025-09-08 10:54:00,649.5,649.37,649.485,12522
2025-09-08 10:55:00,649.6,649.44,649.59,18125
2025-09-08 10:56:00,649.66,649.51,649.62,12395
2025-09-08 10:57:00,649.77,649.6,649.68,16292
2025-09-08 10:58:00,649.68,649.37,649.41,32915
2025-09-08 10:59:00,649.47,649.34,649.375,8418
2025-09-08 11:00:00,649.55,649.35,649.53,24360
2025-09-08 11:01:00,649.59,649.39,649.47,12351
2025-09-08 11:02:00,649.52,649.42,649.47,12837
2025-09-08 11:03:00,649.64,649.47,649.57,19436
2025-09-08 11:04:00,649.59,649.479,649.54,10038
