time,open,high,low,close,Volume
1757338200,648.63,648.86,648.24,648.26,141588
1757338260,648.26,648.45,648.15,648.27,42118
1757338320,648.3,648.46,648.1,648.26,37143
1757338380,648.28,648.47,648.23,648.4,42231
1757338440,648.4,648.68,648.32,648.665,23659
1757338500,648.64,648.88,648.62,648.78,38252
1757338560,648.8,648.92,648.78,648.79,36436
1757338620,648.82,649.06,648.8,648.87,35151
1757338680,648.87,648.91,648.23,648.23,52975
1757338740,648.26,648.35,648.06,648.11,58512
1757338800,648.1,648.57,648.1,648.5,40083
1757338860,648.47,648.78,648.4,648.77,23133
1757338920,648.78,648.78,648.44,648.62,25949
1757338980,648.62,648.88,648.62,648.69,42499
1757339040,648.68,648.76,648.52,648.64,25675
1757339100,648.64,648.66,648.28,648.42,42890
1757339160,648.47,648.52,648.23,648.28,27123
1757339220,648.31,648.32,648.05,648.11,34172
1757339280,648.11,648.62,648.1,648.57,46060
1757339340,648.56,648.76,648.52,648.66,27793
1757339400,648.66,648.66,648.22,648.27,37213
1757339460,648.29,648.79,648.17,648.5,56586
1757339520,648.51,648.57,648.31,648.51,14146
1757339580,648.49,648.57,648.3,648.37,20715
1757339640,648.36,648.77,648.35,648.76,18507
1757339700,648.76,648.96,648.63,648.96,28332
1757339760,648.96,648.96,648.76,648.84,22495
1757339820,648.84,648.86,648.6,648.71,20640
1757339880,648.71,648.77,648.42,648.45,27781
1757339940,648.47,648.48,648.33,648.38,19713
1757340000,648.335,648.37,648.1,648.24,43564
1757340060,648.26,648.26,647.93,647.97,24284
1757340120,648,648.27,648,648.27,20208
1757340180,648.29,648.32,648.15,648.24,22315
1757340240,648.24,648.35,648.19,648.29,22110
1757340300,648.3,648.37,648.11,648.28,33879
1757340360,648.27,648.51,648.26,648.48,20502
1757340420,648.46,648.66,648.4,648.57,17729
1757340480,648.57,648.7,648.56,648.62,14330
1757340540,648.62,648.64,648.33,648.42,16979
1757340600,648.43,648.56,648.4,648.43,22157
1757340660,648.43,648.62,648.32,648.56,21514
1757340720,648.55,648.555,648.21,648.46,11844
1757340780,648.46,648.49,648.3,648.34,11335
1757340840,648.36,648.41,648.2,648.2,19109
1757340900,648.205,648.3,648.13,648.26,31517
1757340960,648.24,648.29,648.07,648.19,23323
1757341020,648.19,648.24,647.96,647.979,15931
1757341080,647.99,648.14,647.86,647.89,20158
1757341140,647.87,648.03,647.75,647.91,43490
1757341200,647.92,647.94,647.78,647.9,16708
1757341260,647.89,648.02,647.82,647.88,25191
1757341320,647.88,648.16,647.87,648.06,34659
1757341380,648.06,648.16,647.93,648.12,21677
1757341440,648.119,648.13,647.96,648.01,24091
1757341500,648.03,648.23,648,648.019,38779
1757341560,648.03,648.35,648.03,648.34,22030
1757341620,648.33,648.73,648.32,648.61,36772
1757341680,648.6,648.8,648.58,648.75,21447
1757341740,648.75,648.9,648.715,648.77,35801
1757341800,648.76,649.05,648.75,649,44273
1757341860,648.98,649.06,648.915,648.96,45285
1757341920,648.98,649.14,648.87,648.88,27485
1757341980,648.88,648.905,648.66,648.78,15589
1757342040,648.79,648.86,648.72,648.81,12817
1757342100,648.81,648.88,648.74,648.82,21921
1757342160,648.84,648.99,648.83,648.98,15276
1757342220,648.96,649,648.86,648.92,10738
1757342280,648.92,649.21,648.91,649.13,18361
1757342340,649.13,649.27,649.06,649.09,21546
1757342400,649.09,649.16,649.01,649.12,13942
1757342460,649.13,649.23,649.06,649.225,19657
1757342520,649.24,649.38,649.22,649.38,16710
1757342580,649.37,649.38,649.27,649.31,15255
1757342640,649.31,649.36,649.19,649.26,34529
1757342700,649.26,649.4,649.2,649.23,19710
1757342760,649.24,649.46,649.23,649.39,17852
1757342820,649.39,649.49,649.32,649.42,13254
1757342880,649.41,649.47,649.31,649.45,17908
1757342940,649.43,649.5,649.39,649.395,19343
1757343000,649.38,649.38,649.19,649.33,29040
1757343060,649.32,649.42,649.26,649.28,14714
1757343120,649.3,649.4,649.29,649.37,10415
1757343180,649.365,649.395,649.29,649.38,22172
1757343240,649.37,649.5,649.37,649.485,12522
1757343300,649.5,649.6,649.44,649.59,18125
1757343360,649.58,649.66,649.51,649.62,12395
1757343420,649.62,649.77,649.6,649.68,16292
1757343480,649.68,649.68,649.37,649.41,32915
1757343540,649.44,649.47,649.34,649.375,8418
1757343600,649.36,649.55,649.35,649.53,24360
1757343660,649.525,649.59,649.39,649.47,12351
1757343720,649.48,649.52,649.42,649.47,12837
1757343780,649.47,649.64,649.47,649.57,19436
1757343840,649.59,649.59,649.479,649.54,10038
1757343900,649.56,649.59,649.46,649.54,17387
1757343960,649.54,649.64,649.51,649.61,22960
1757344020,649.601,649.63,649.475,649.57,23845
1757344080,649.58,649.63,649.48,649.63,18979
1757344140,649.62,649.62,649.51,649.58,16851
1757344200,649.58,649.72,649.58,649.72,21743
1757344260,649.72,649.81,649.71,649.73,25040
1757344320,649.73,649.75,649.65,649.7,12382
1757344380,649.73,649.77,649.69,649.71,19367
1757344440,649.69,649.79,649.66,649.66,8382
1757344500,649.69,649.69,649.47,649.47,20079
1757344560,649.48,649.56,649.4,649.53,26974
1757344620,649.53,649.58,649.4,649.41,17238
1757344680,649.41,649.45,649.17,649.2,20038
1757344740,649.21,649.31,649.14,649.21,21474
1757344800,649.21,649.26,649.15,649.23,15892
1757344860,649.23,649.3,649.15,649.2,16934
1757344920,649.2,649.39,649.2,649.34,14632
1757344980,649.34,649.4,649.24,649.38,11536
1757345040,649.4,649.46,649.335,649.38,12504
1757345100,649.38,649.52,649.349,649.47,16953
1757345160,649.49,649.56,649.41,649.5,17960
1757345220,649.51,649.55,649.38,649.55,10358
1757345280,649.54,649.65,649.495,649.63,12108
1757345340,649.63,649.82,649.62,649.79,16676
1757345400,649.79,649.83,649.68,649.77,18035
1757345460,649.77,649.8,649.73,649.77,15161
1757345520,649.78,649.805,649.66,649.73,16781
1757345580,649.74,649.84,649.62,649.65,24725
1757345640,649.66,649.66,649.44,649.49,20181
1757345700,649.49,649.58,649.47,649.5,16228
1757345760,649.485,649.53,649.26,649.33,18271
1757345820,649.32,649.39,649.23,649.24,19647
1757345880,649.24,649.4,649.22,649.39,24529
1757345940,649.38,649.43,649.3,649.33,17147
1757346000,649.33,649.33,649.16,649.27,24446
1757346060,649.26,649.35,649.24,649.25,11000
1757346120,649.25,649.27,649.17,649.2,13671
1757346180,649.2,649.34,649.19,649.279,12666
1757346240,649.29,649.29,649.17,649.17,12496
1757346300,649.16,649.215,648.94,648.98,26014
1757346360,648.99,649.05,648.601,648.66,27322
1757346420,648.65,648.88,648.59,648.619,20346
1757346480,648.63,648.79,648.5,648.73,19006
1757346540,648.72,648.9,648.69,648.87,19553
1757346600,648.86,648.96,648.7,648.96,28923
1757346660,648.96,649.12,648.88,649.09,15013
1757346720,649.09,649.105,648.97,648.99,14103
1757346780,648.98,649.18,648.97,649.13,16748
1757346840,649.135,649.23,649.13,649.19,18075
1757346900,649.18,649.36,649.17,649.28,16620
1757346960,649.28,649.36,649.18,649.35,17608
1757347020,649.36,649.39,649.3,649.35,9650
1757347080,649.36,649.4,649.29,649.4,14564
1757347140,649.39,649.46,649.33,649.38,19065
1757347200,649.39,649.41,649.155,649.18,22202
1757347260,649.18,649.23,648.95,649.03,19195
1757347320,649.02,649.19,649.02,649.14,10143
1757347380,649.145,649.28,649.12,649.19,7830
1757347440,649.19,649.25,649.08,649.12,11451
1757347500,649.12,649.18,648.95,648.95,14344
1757347560,648.96,649.01,648.76,648.8,15620
1757347620,648.85,648.99,648.82,648.84,8548
1757347680,648.87,648.915,648.74,648.74,7418
1757347740,648.75,648.81,648.7,648.76,10727
1757347800,648.76,648.91,648.73,648.82,20836
1757347860,648.81,648.94,648.78,648.91,15820
1757347920,648.92,648.98,648.78,648.89,15869
1757347980,648.9,648.92,648.835,648.88,16688
1757348040,648.88,648.9,648.75,648.77,11973
1757348100,648.75,648.8,648.7,648.72,17781
1757348160,648.72,648.77,648.57,648.63,27170
1757348220,648.63,648.71,648.42,648.68,19476
1757348280,648.67,648.7,648.54,648.55,15211
1757348340,648.59,648.63,648.51,648.57,13687
1757348400,648.61,648.66,648.48,648.63,12309
1757348460,648.62,648.68,648.52,648.54,12871
1757348520,648.53,648.59,648.459,648.5,15349
1757348580,648.5,648.55,648.45,648.49,16585
1757348640,648.48,648.54,648.38,648.5,25674
1757348700,648.49,648.65,648.45,648.59,21047
1757348760,648.585,648.62,648.51,648.56,10987
1757348820,648.54,648.56,648.4,648.41,8778
1757348880,648.42,648.64,648.42,648.59,13259
1757348940,648.59,648.65,648.59,648.64,10612
1757349000,648.62,648.8,648.62,648.71,13013
1757349060,648.71,648.71,648.44,648.48,13752
1757349120,648.48,648.5,648.25,648.27,27461
1757349180,648.28,648.28,648.15,648.18,9241
1757349240,648.19,648.37,648.19,648.26,10513
1757349300,648.26,648.31,648.17,648.17,6664
1757349360,648.19,648.21,648.059,648.07,9411
1757349420,648.07,648.09,647.78,647.92,28527
1757349480,647.93,648.15,647.91,648.14,13168
1757349540,648.14,648.19,648.05,648.16,11025
1757349600,648.15,648.19,648.07,648.16,11614
1757349660,648.15,648.37,648.05,648.33,27956
1757349720,648.34,648.43,648.24,648.37,14679
1757349780,648.36,648.56,648.35,648.48,13683
1757349840,648.47,648.51,648.36,648.36,9667
1757349900,648.35,648.35,648.07,648.11,14185
1757349960,648.085,648.17,647.96,648.03,5601
1757350020,648.03,648.06,647.98,648,4253
1757350080,648.01,648.17,647.99,648.1,8391
1757350140,648.11,648.15,648.05,648.12,10935
1757350200,648.155,648.37,648.125,648.37,15005
1757350260,648.37,648.41,648.33,648.38,8198
1757350320,648.37,648.41,648.3,648.33,5375
1757350380,648.34,648.48,648.34,648.47,4737
1757350440,648.46,648.63,648.43,648.62,9810
1757350500,648.61,648.69,648.55,648.58,6400
1757350560,648.575,648.61,648.45,648.45,7215
1757350620,648.45,648.57,648.45,648.505,6599
1757350680,648.505,648.53,648.35,648.35,7462
1757350740,648.33,648.56,648.31,648.56,8273
1757350800,648.56,648.59,648.4,648.58,7531
1757350860,648.6,648.6,648.395,648.41,14918
1757350920,648.435,648.48,648.33,648.33,5025
1757350980,648.38,648.38,648.21,648.295,9995
1757351040,648.31,648.33,648.16,648.19,6623
1757351100,648.195,648.28,648.069,648.09,7511
